,0
0,Business Name
1,Email
2,Phone Number
3,Website
4,Email Verfication
5,  'Rowell & Family HVAC, LLC', 'rowellfamilyhvac@gmail.com', '781-243-0718', 'N/A', 'Verified' 
6,  'CSP Plumbing & Heating', 'cspplumbingandheating@gmail.com', '7936690652', 'N/A', 'Verified' 
7,  'Thiel Heating and Cooling - Macon GA AC Repair', 'thielheatingandcooling@gmail.com', '(478) 973-2886', 'N/A', 'Verified' 
8,  'Major League HVAC', 'majorleaguehvac21@gmail.com', 'N/A', 'www.majorleagueair.com', 'Verified' 
9,  'Watson and Clayton Heating & Cooling', 'watsonclaytonhvac@gmail.com', 'N/A', 'N/A', 'Verified' 
10,  'RF Plumbing & Heating', 'rfplumbingoffice@gmail.com', '7702278186', 'N/A', 'Verified' 
11,  ""Khan's Cooling Solution"", 'khanscoolingsolution@gmail.com', 'N/A', 'N/A', 'Verified' 
12,  'June Pearl Photography', 'junepearlphotography@gmail.com', 'N/A', 'junepearlphotography.com', 'Verified' 
13,  'Platinum Heating and Air LLC', 'platinumheatingandair@gmail.com', '770-851-8455', 'N/A', 'Verified' 
14,  'Mengis Heating & Cooling LLC', 'mengishvac@gmail.com', '9714091805', 'N/A', 'Verified' 
15,  'Philippines HVAC Technician', 'kg.obmerga08@gmail.com', 'N/A', 'N/A', 'Verified' 
16,  ""Ell's cool air"", 'cool.air@gmail.com', 'N/A', 'N/A', 'Verified' 
17,  'Thomson Plumbing & Heating', 'heating@gmail.com', 'N/A', 'N/A', 'Verified' 
18,  'Caliber Heating & Cooling LLC', 'caliberhvac101@gmail.com', '610-568-2278', 'N/A', 'Verified' 
19,  'Spartan Heating, Cooling and Fireplaces', 'spartanhcandf@gmail.com', '(319) 391-4817', 'N/A', 'Verified' 
20,  'J Elliott Heating and Air', 'jmelliotthvacnominations@gmail.com', 'N/A', 'N/A', 'NOT VERIFIED' 
21,  'Gencool HVAC Mechanical Corporation', 'gencoolinfo@gmail.com', 'N/A', 'N/A', 'Verified' 
22,  'Cool Air Spot', 'coolairspot@gmail.com', 'N/A', 'coolairspot.com', 'Verified' 
23,  'Unicoi County Animal Shelter', 'unicoicountyanimalshelter@gmail.com', 'N/A', 'N/A', 'Verified' 
24,  'Multitask Technical Services LLC', 'multitasktechllc@gmail.com', 'N/A', 'N/A', 'Verified' 
25,  ""Barron's Refrigeration & Heating LTD."", 'barrons.rhltd@gmail.com', 'N/A', 'N/A', 'Verified' 
26,  'HVAC Technology', 'hvact.mh@gmail.com', '089 545 2765', 'N/A', 'Verified' 
27,  ""Good's Plumbing"", 'goodsplumbing11@gmail.com, danielle4goods@gmail.com', '724-864-6038', 'N/A', 'NOT VERIFIED' 
28,  'Brown Heating & Cooling INC.', 'brownhvac@gmail.com', 'N/A', 'N/A', 'Verified' 
29,  'Comfortech Heating & Cooling, LLC', 'comfortechky@gmail.com', '270-993-2357', 'www.comfortechky.com', 'Verified' 
30,  'MD Super Tech HVACR & Plumbing Services LLC', 'mdsupertechhvacr@gmail.com', '(267) 883-4065', 'N/A', 'Verified' 
31,  'Comfort Home Heating And Cooling LLC', 'comforthomeheatingandcooling@gmail.com', '(+1) 484-846-8868', 'comforthomeheatingandcooling.com', 'Verified' 
